[2025-03-30T09:18:09.503+0800] {processor.py:186} INFO - Started process (PID=3416) to work on /Users/ervinyeoh/Desktop/unimods/is3107/project/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2025-03-30T09:18:09.504+0800] {processor.py:914} INFO - Processing file /Users/ervinyeoh/Desktop/unimods/is3107/project/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-03-30T09:18:09.504+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:09.504+0800] {dagbag.py:588} INFO - Filling up the DagBag from /Users/ervinyeoh/Desktop/unimods/is3107/project/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2025-03-30T09:18:09.926+0800] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_never_scheduled', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_2', 'dataset_produces_1', 'dataset_consumes_1', 'consume_1_or_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions' retrieved from /Users/ervinyeoh/Desktop/unimods/is3107/project/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2025-03-30T09:18:10.018+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.018+0800] {dag.py:3239} INFO - Sync 10 DAGs
[2025-03-30T09:18:10.070+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.069+0800] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-03-26 01:00:00+00:00, run_after=2025-03-26 01:00:00+00:00
[2025-03-30T09:18:10.076+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.075+0800] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-03-30T09:18:10.077+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.077+0800] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-03-30T09:18:10.078+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.078+0800] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-03-30T09:18:10.082+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.079+0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-03-30T09:18:10.085+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.084+0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-03-30T09:18:10.087+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.086+0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-03-30T09:18:10.089+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.089+0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-03-30T09:18:10.095+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.095+0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-03-29 00:00:00+00:00, run_after=2025-03-30 00:00:00+00:00
[2025-03-30T09:18:10.098+0800] {logging_mixin.py:190} INFO - [2025-03-30T09:18:10.097+0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-03-30T09:18:10.125+0800] {processor.py:208} INFO - Processing /Users/ervinyeoh/Desktop/unimods/is3107/project/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py took 0.624 seconds
